id,rev,name,lat,lng
248285,140200.9,"Rainbow Lodge Restaurant",29.8047601,-95.4293322
248304,65982.99,"Jump's Bar & Grill",29.7216404,-95.6186768
248308,4080.9,"Taco Cabana",29.6925013,-95.4153941
248316,25672.99,"Chili's Grill & Bar",29.5301347,-95.1308874
248372,5655.97,Skeeter's,29.7221068,-95.4409264
248397,84044.93,"Don-Key Mexican Food",29.6651433,-95.166478
248429,45571.94,"El Palenque Mexican Restaurant",29.9986704,-95.581486
248433,40794.93,"The Olive Garden #1166",29.9642843,-95.5422263
248446,17347.91,"Victor's Casa Garcia Mexican C",29.7942245,-95.7195779
248450,29324.93,"Michelangelo's Restaurant",29.7443689,-95.384966
248466,50345.97,"Molly Malone's Pub",30.0164231,-95.5321437
248501,0,"R Wes Inc",29.9644013,-95.5419765
248505,30377.91,"The Good Fortune Club",30.116014,-95.4394601
248535,290490.9,"The Woodlands Resort And Confe",30.1434989,-95.4743296
248559,31710,"El Principe Azul",29.7114687,-95.4934306
248563,85181.94,"Aramark Sports And Entertainme",29.7817369,-95.4097569
248570,43170,"The Hop",29.53769,-95.118512
248589,51841.94,"Spotlight Karaoke",29.7368681,-95.4850068
248601,47821.94,"Shakespeare Pub",29.7694493,-95.5926942
248605,1496.87,"Texas Sunset Grill",29.9992389,-95.205733
248609,27055.97,"Jimmy G's Cajun Seafood Restau",29.9683035,-95.3793298
248645,12714.93,"Galveston Artillery Corp",29.291795,-94.799725
248657,31627.91,"Billy Ray's",29.816654,-95.140354
248697,38640.9,"19th Hole Grill & Bar",30.1261952,-95.4672962
248717,88847.91,Carrington's,29.6799051,-95.4243302
248725,204542.99,Centerfolds,29.7322494,-95.4895618
248733,11693.88,"Monterey's Texmex Cafe (#562)",29.9509867,-95.4110299
248737,0,"Mission Burrito # 806",29.86887,-95.644755
248741,0,"Monterey's Little Mexico (#559",29.8122821,-95.462133
248745,5947.91,"Monterey's Little Mexico #513",29.8289871,-95.3823637
248772,38232.99,"Cohen House Faculty Club",29.7183467,-95.4306141
248792,6260,"Elvia's Cantina",29.7364872,-95.5202704
248827,32493.88,"O'malley's Stage Door Pub",29.3053868,-94.7909319
248838,295790.9,"Moody Gardens Hotel Gift Shop",29.2729621,-94.8505854
248885,30340.9,"Outback Steakhouse",29.5456214,-95.1322122
248901,57690,"Monument Inn Restaurant",29.7611583,-95.0805202
248937,44308.96,"Bimbo's Beer & Bar-B-Q",30.010604,-95.585225
248945,102133.88,"Grand Prize",29.730376,-95.391648
248973,27100.9,"The Olive Garden Of Texas 1259",29.615698,-95.214253
248981,38436.87,"La Mexicana Restaurant",29.748361,-95.391705
248985,56025.97,"Black Labrador Pub",29.7357453,-95.3915978
249005,3095.97,"Taco Cabana",29.7043743,-95.5148206
249009,75472.99,Mamacitas,29.541453,-95.113974
249017,8602.99,"Mirage Cabaret",29.8172736,-95.4462188
249021,72155.97,"The Hideaway On Dunvale",29.730133,-95.514334
