id,barId,date,paid,rev,id,taxId,name,address,city,state,zip,countyId,lat,lng
4995,388,"2014-06-00 00:00:00",165.82,2474.9253731343283,388,MB156781,"PICO'S RESTAURANT             ","5941 BELLAIRE BLVD            ","HOUSTON             ",TX,77081,101,29.7052908,-95.486003
5053,393,"2014-06-00 00:00:00",7235.53,107992.98507462685,393,MB157774,"LUPE TORTILLAS MEXICAN RESTAUR","308 STAFFORD ST               ","HOUSTON             ",TX,77079,101,29.782813,-95.643062
5258,408,"2014-06-00 00:00:00",6357.49,94887.91044776118,408,MB159633,"TONY MANDOLA'S                ","1212 WAUGH DR                 ","HOUSTON             ",TX,77019,101,29.755876,-95.3984784
5288,411,"2014-06-00 00:00:00",1713.12,25568.955223880595,411,MB160467,"CHILI'S HAMBURGER GRILL & BAR ","12897 GULF FWY                ","HOUSTON             ",TX,77034,101,29.614237,-95.2127633
5408,419,"2014-06-00 00:00:00",2713.5,40500,419,MB161360,"BABA YEGA                     ","2607 GRANT ST                 ","HOUSTON             ",TX,77006,101,29.7462362,-95.390185
5558,430,"2014-06-00 00:00:00",5337.22,79660,430,MB162826,"PAPPAS SEAFOOD HOUSE & OYSTER ","11301 NORTH FWY               ","HOUSTON             ",TX,77037,101,29.9296088,-95.4129379
5588,432,"2014-06-00 00:00:00",2538.49,37887.91044776119,432,MB162968,"MOLLY'S PUB                   ","11128 WESTHEIMER RD           ","HOUSTON             ",TX,77042,101,29.7368377,-95.573273
5618,435,"2014-06-00 00:00:00",497.87,7430.895522388059,435,MB163213,"AMF WILLOW LANES              ","19102 STATE HIGHWAY 249       ","HOUSTON             ",TX,77070,101,29.972388,-95.5609127
5810,448,"2014-06-00 00:00:00",386.18,5763.880597014925,448,MB166026,"KOREA GARDEN RESTAURANT       ","9501 LONG POINT RD STE Z      ","HOUSTON             ",TX,77055,101,29.7966912,-95.5258214
5884,453,"2014-06-00 00:00:00",1706.35,25467.91044776119,453,MB166783,"CAVATORE ITALIAN RESTAURANT   ","2120 ELLA BLVD                ","HOUSTON             ",TX,77008,101,29.8050732,-95.4287959
5916,456,"2014-06-00 00:00:00",1815.56,27097.91044776119,456,MB166951,"CHILI'S GRILL & BAR           ","3215 SOUTHWEST FWY            ","HOUSTON             ",TX,77027,101,29.7289519,-95.42903
5985,461,"2014-06-00 00:00:00",1882.29,28093.880597014922,461,MB167527,"CHILI'S GRILL & BAR           ","19825 NORTHWEST FWY           ","HOUSTON             ",TX,77065,101,29.9151218,-95.6159982
6030,464,"2014-06-00 00:00:00",0,0,464,MB167637,"ARAMARK EDUCATIONAL SERVICES O","3874 HOLMAN ST STE D          ","HOUSTON             ",TX,77004,101,29.7238713,-95.3476228
6251,481,"2014-06-00 00:00:00",853.11,12732.985074626866,481,MB169850,"FAJITA WILLIES CAFE & CANTINA ","14960 NORTHWEST FWY           ","HOUSTON             ",TX,77040,101,29.8698015,-95.5463983
6471,498,"2014-06-00 00:00:00",11151.34,166437.91044776118,498,MB173796,"PAPPASITO'S CANTINA 2         ","15280 NORTH FWY               ","HOUSTON             ",TX,77090,101,29.9888266,-95.4231303
6486,499,"2014-06-00 00:00:00",4450.34,66422.98507462686,499,MB173979,"BLYTHE SPIRITS                ","600 W GRAY ST                 ","HOUSTON             ",TX,77019,101,29.7535945,-95.388358
6546,505,"2014-06-00 00:00:00",415.46,6200.895522388059,505,MB174835,"CHILI'S HAMBURGER GRILL & BAR ","1040 W SAM HOUSTON PKWY N     ","HOUSTON             ",TX,77043,101,29.786091,-95.56184
6682,514,"2014-06-00 00:00:00",1975.89,29490.89552238806,514,MB176689,"SPAGHETTI WAREHOUSE LICENSE IN","901 COMMERCE ST               ","HOUSTON             ",TX,77002,101,29.764378,-95.3600699
6742,519,"2014-06-00 00:00:00",4775.55,71276.86567164179,519,MB176999,"TC'S BAR                      ","817 FAIRVIEW ST               ","HOUSTON             ",TX,77006,101,29.7478922,-95.3902903
6766,521,"2014-06-00 00:00:00",447.29,6675.9701492537315,521,MB177207,"CASA OLE RESTAURANT (#28)     ","12350 GULF FWY                ","HOUSTON             ",TX,77034,101,29.6178898,-95.2191485
6824,525,"2014-06-00 00:00:00",844.13,12598.955223880595,525,MB177548,"NIPPON RESTAURANT             ","4464 MONTROSE BLVD            ","HOUSTON             ",TX,77006,101,29.7326988,-95.3914014
6839,526,"2014-06-00 00:00:00",1630.04,24328.955223880595,526,MB177556,"GOODE COMPANY HAMBURGER       ","4902 KIRBY DR                 ","HOUSTON             ",TX,77098,101,29.7282884,-95.4190304
6897,530,"2014-06-00 00:00:00",2435.91,36356.86567164179,530,MB177916,"VINCENT'S ITALIAN SANDWICH BAR","2701 W DALLAS ST              ","HOUSTON             ",TX,77019,101,29.7572264,-95.3950101
6911,531,"2014-06-00 00:00:00",1730.4,25826.86567164179,531,MB178008,"ZANZIBAR HOUSTON              ","9003 WESTHEIMER STREET        ","HOUSTON             ",TX,77063,101,29.7368863,-95.5231653
6979,536,"2014-06-00 00:00:00",2469.55,36858.9552238806,536,MB178154,"I-37 INC                      ","9100 GULF FWY                 ","HOUSTON             ",TX,77017,101,29.657427,-95.2564766
7063,542,"2014-06-00 00:00:00",1947.15,29061.940298507463,542,MB179311,"CHILI'S GRILL & BAR           ","5015 WESTHEIMER RD STE 1310   ","HOUSTON             ",TX,77056,101,29.739545,-95.462716
7078,543,"2014-06-00 00:00:00",3453.38,51542.985074626864,543,MB179481,"PLAYMATES                     ","9605 SOUTHWEST FWY            ","HOUSTON             ",TX,77074,101,29.6749394,-95.5421399
